Sr.,File Path,Class,Method,Line Number,Smell,Severity,Rule ID,Message,Effort
1,src/main/java/org/apache/commons/beanutils2/converters/DateTimeConverter.java,DateTimeConverter,convertToString,122,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'value' in 9 branches. Consider Replace Conditional with Polymorphism.,N/A
2,src/main/java/org/apache/commons/beanutils2/LazyDynaBean.java,LazyDynaBean,createOtherProperty,326,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
3,src/main/java/org/apache/commons/beanutils2/LazyDynaBean.java,LazyDynaBean,isAssignable,645,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (16) used in the expression (maximum allowed 3).,18min
4,src/main/java/org/apache/commons/beanutils2/DynaProperty.java,DynaProperty,N/A (class-level smell),35,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'type' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
5,src/main/java/org/apache/commons/beanutils2/BasicDynaBean.java,BasicDynaBean,isAssignable,245,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (16) used in the expression (maximum allowed 3).,18min
6,src/main/java/org/apache/commons/beanutils2/locale/converters/StringLocaleConverter.java,Builder,parse,124,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
7,src/main/java/org/apache/commons/beanutils2/converters/DateTimeConverter.java,DateTimeConverter,N/A (class-level smell),86,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'timeZone' is null-checked in 5 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
8,src/main/java/org/apache/commons/beanutils2/converters/DateTimeConverter.java,DateTimeConverter,N/A (class-level smell),86,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'locale' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
9,src/main/java/org/apache/commons/beanutils2/converters/DateTimeConverter.java,DateTimeConverter,N/A (class-level smell),86,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'patterns' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
10,src/main/java/org/apache/commons/beanutils2/converters/NumberConverter.java,NumberConverter,N/A (class-level smell),81,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'locale' is null-checked in 3 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
11,src/main/java/org/apache/commons/beanutils2/BeanMap.java,BeanMap,N/A (class-level smell),43,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'bean' is null-checked in 4 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
12,src/main/java/org/apache/commons/beanutils2/LazyDynaList.java,LazyDynaList,N/A (class-level smell),160,Null Check,MINOR,custom-java:ExcessiveNullCheck,Field 'elementType' is null-checked in 4 different methods of this class. Consider introducing a Null Object (or java.util.Optional) so callers no longer need to repeat this check.,N/A
