Sr.,File Path,Class,Method,Line Number,Smell,Severity,Rule ID,Message,Effort
1,src/main/java/org/apache/bcel/generic/ConstantPoolGen.java,ConstantPoolGen,ConstantPoolGen,117,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'c' in 5 branches. Consider Replace Conditional with Polymorphism.,N/A
2,src/main/java/org/apache/bcel/classfile/Field.java,Field,equals,46,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
3,src/main/java/org/apache/bcel/classfile/Method.java,Method,equals,45,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
4,src/main/java/org/apache/bcel/generic/FieldGen.java,FieldGen,equals,49,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
5,src/main/java/org/apache/bcel/generic/MethodGen.java,BranchTarget,equals,110,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
6,src/main/java/org/apache/bcel/verifier/structurals/InstConstraintVisitor.java,InstConstraintVisitor,visitLDC,2037,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
7,src/main/java/org/apache/bcel/classfile/JavaClass.java,JavaClass,findField,435,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
8,src/main/java/org/apache/bcel/util/BCELFactory.java,BCELFactory,createConstant,85,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'value' in 7 branches. Consider Replace Conditional with Polymorphism.,N/A
9,src/main/java/org/apache/bcel/classfile/StackMapEntry.java,StackMapEntry,invalidFrameType,282,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (6) used in the expression (maximum allowed 3).,8min
10,src/main/java/org/apache/bcel/classfile/Utility.java,JavaWriter,fillup,716,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""leftJustify"" to determine which action to take.",15min
11,src/main/java/org/apache/bcel/generic/MethodGen.java,BranchTarget,MethodGen,321,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'a' in 3 branches. Consider Replace Conditional with Polymorphism.,N/A
12,src/main/java/org/apache/bcel/verifier/statics/Pass2Verifier.java,CPESSC_Visitor,visitMethod,883,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (5) used in the expression (maximum allowed 3).,7min
13,src/main/java/org/apache/bcel/generic/MethodGen.java,BranchTarget,MethodGen,349,Conditional Complexity,MAJOR,custom-java:TypeChecking,This if/else-if chain tests the type of 'a' in 3 branches. Consider Replace Conditional with Polymorphism.,N/A
14,src/main/java/org/apache/bcel/generic/InstructionFactory.java,MethodObject,createInvoke,635,Flag Argument,MAJOR,java:S2301,"Provide multiple methods instead of using ""useInterface"" to determine which action to take.",15min
15,src/main/java/org/apache/bcel/verifier/statics/Pass2Verifier.java,CPESSC_Visitor,visitConstantValue,474,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (5) used in the expression (maximum allowed 3).,7min
16,src/main/java/org/apache/bcel/classfile/Utility.java,JavaWriter,isJavaIdentifierPart,826,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (6) used in the expression (maximum allowed 3).,8min
17,src/main/java/org/apache/bcel/generic/InstructionFactory.java,MethodObject,createInvoke,637,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).,6min
18,src/main/java/org/apache/bcel/verifier/statics/Pass2Verifier.java,CPESSC_Visitor,visitMethod,905,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (6) used in the expression (maximum allowed 3).,8min
19,src/main/java/org/apache/bcel/verifier/statics/Pass3aVerifier.java,InstOperandConstraintVisitor,visitNEWARRAY,804,Complicated Boolean Expression,CRITICAL,java:S1067,Reduce the number of conditional operators (7) used in the expression (maximum allowed 3).,9min
